band_name;song_title;album_list;num_album;smallest_date;biggest_date;max_view;num_feat;profanity_count;profanity_ratio
My Chemical Romance;104;"['The Black Parade (Deluxe Version)' 'Three Cheers for Sweet Revenge'
 'MCR5*'
 'Danger Days: The True Lives of the Fabulous Killjoys (Apple Music Deluxe Version)'
 'I Brought You My Bullets, You Brought Me Your Love'
 'Conventional Weapons' 'May Death Never Stop You'
 'Life On the Murder Scene (The Live Video Album)'
 'The Black Parade/Living with Ghosts'
 'Warner Music Greece Spring Sampler 2009'
 'Na Na Na (Na Na Na Na Na Na Na Na Na) - Single'
 'The Mad Gear and Missile Kid' 'The Black Parade Is Dead! '
 'Yo Gabba Gabba! Hey!' 'Gift Wrapped - 20 Songs That Keep On Giving!'
 'In Love and Death' 'Dreams of Stabbing and/or Being Stabbed - EP'
 'Tony Hawk’s American Wasteland ' 'Like Phantoms, Forever - EP'
 'Live Acoustic at 98.7FM Penthouse' 'My Chemical Romance '
 ""BBC Radio 1's Live Lounge, Vol. 1"" 'Thank You For The Venom - Single'
 'Warped Tour Bootleg Series - EP']";20;27/05/2002;12/05/2022;1179103.0;3;33;0.3173076923076923
Nightwish;141;"['Once' 'HUMAN. :||: NATURE.' 'Endless Forms Most Beautiful '
 'Dark Passion Play' 'Imaginaerum' 'Highest Hopes: The Best of Nightwish'
 'Century Child' 'Oceanborn' 'Wishmaster' 'Decades' 'Angels Fall First'
 'Nuclear Blast Presents Nightwish Bonus' 'Over the Hills and Far Away'
 'The Crow, the Owl and the Dove' 'Nightwish' 'Kuolema Tekee Taiteilijan'
 ' Once (Remastered) ' 'Élan' 'Bless the Child' 'From Wishes to Eternity'
 'Decades - Live In Buenos Aires']";21;01/11/1997;06/08/2021;71994.0;0;13;0.09219858156028368
PVRIS;63;"['All We Know of Heaven, All We Need of Hell'
 'White Noise (Deluxe Version)' 'White Noise ' 'Use Me'
 'Hallucinations - EP' 'Use Me (Deluxe)' 'Paris - EP'
 'Tegan and Sara Present The Con X: Covers' 'EVERGREEN'
 'Punk Goes Pop, Vol. 6']";9;01/01/2013;14/07/2023;82828.0;4;12;0.19047619047619047
Poets of the Fall;107;"['Carnival of Rust' 'Twilight Theater' 'Ultraviolet' 'Temple of Thought '
 'Signs of Life ' 'Clearview' 'Jealous Gods ' 'Revolution Roulette'
 'Ghostlight' 'Alchemy Vol.1' 'Lift '
 'Melkein vieraissa – Nimemme on Dingo']";12;19/01/2005;29/04/2022;61504.0;0;2;0.018691588785046728
Prime Circle;25;"['Evidence' 'All or Nothing' 'Jekyll & Hyde' 'Hello Crazy World'
 'Let The Night In']";5;24/06/2008;22/09/2017;;0;1;0.04
STARSET;62;"['Transmissions ' 'Vessels' 'DIVISIONS' 'HORIZONS'
 'Waiting On The Sky To Change - Single' 'Vessels 2.0'
 'TRIALS (reimagine) - Single' 'The PROX Transmissions - EP']";6;13/05/2013;19/08/2022;129993.0;2;4;0.06451612903225806
Sleep Token;50;"['Take Me Back To Eden' 'This Place Will Become Your Tomb' 'Sundowning'
 'Two' 'Sundowning (Deluxe)' 'One']";6;08/09/2016;19/05/2023;157254.0;0;4;0.08
Soen;65;"['Lykaia' 'Lotus' 'IMPERIAL' 'Cognitive' 'Tellurian' 'Memorial'
 'The Undiscovered Lotus' 'Lykaia Revisited' 'ATLANTIS']";9;05/02/2012;01/09/2023;27708.0;1;0;0.0
Steam Powered Giraffe;106;"['The 2¢ Show' 'Album One' 'The Vice Quadrant: A Space Opera'
 'Quintessential' '1896' 'MK III' 'Music from SteamWorld Heist']";7;30/10/2009;26/11/2021;63720.0;1;7;0.0660377358490566
TesseracT;57;"['Polaris' 'Altered State' 'Sonder' 'One' 'War of Being' 'Perspective'
 'PORTALS' 'Regrowth']";8;16/09/2010;15/09/2023;30656.0;1;3;0.05263157894736842
The Birthday Massacre;118;"['Walking With Strangers' 'Under Your Spell' 'Nothing & Nowhere' 'Violet'
 'Pins and Needles' 'Superstition' 'Diamonds' 'Imagica' 'Fascination'
 'Hide And Seek' 'Imaginary Monsters' 'Looking Glass']";12;23/07/2002;18/02/2022;12191.0;0;7;0.059322033898305086
The Dangerous Summer;78;"['Reach for the Sun' 'The Dangerous Summer' 'Mother Nature' 'War Paint'
 'All That Is Left of the Blue Sky' 'Golden Record'
 'If You Could Only Keep Me Alive'
 'An Acoustic Performance of Reach for the Sun' 'Coming Home'
 'The Best Part of Letting Go - Single']";9;05/05/2009;26/08/2022;11355.0;1;7;0.08974358974358974
The Dear Hunter;153;"['Act IV: Rebirth in Reprise'
 'Act V: Hymns With the Devil in Confessional'
 'Act I: The Lake South, The River North' 'Dear Ms. Leading'
 'Act II: The Meaning of, and All Things Regarding Ms. Leading'
 'Act III: Life and Death ' 'Migrant' 'The Color Spectrum'
 'All Is As All Should Be' 'Antimai' 'The Indigo Child' 'Migrant Returned'
 'The Branches EP' 'Random EP #02']";14;01/01/2005;01/07/2022;20748.0;20;9;0.058823529411764705
The National;178;"['First Two Pages of Frankenstein' 'Trouble Will Find Me'
 'Game of Thrones: Season 2 (Music from the HBO Series)'
 'Sleep Well Beast' 'Boxer ' 'High Violet' 'Cherry Tree'
 'I Am Easy to Find' 'Alligator (Limited Expanded Edition)' 'Laugh Track'
 'Sad Songs for Dirty Lovers' 'Think You Can Wait / Exile Vilify'
 'High Violet (Expanded Edition)' 'Sunshine on My Back' 'Day of the Dead'
 'For the Throne (Music Inspired by the HBO Series Game of Thrones)'
 'The National' 'The Virginia EP' 'Dark Was the Night'
 'The Hunger Games: Catching Fire (Original Motion Picture Soundtrack)'
 'Songs for Australia' 'Spotify Singles'
 'Cyrano (Original Motion Picture Soundtrack)'
 'Ciao My Shining Star - The Songs of Mark Mulcahy' 'Songs Without Words'
 'Daytrotter Session' 'The National (2021 Remaster)']";23;01/01/2001;18/09/2023;267566.0;12;17;0.09550561797752809
There Will Be Fireworks;44;"['The Dark, Dark Bright' 'There Will Be Fireworks' 'Because, Because'
 'Summer Moon']";4;01/01/2011;01/12/2023;;0;0;0.0
VOLA;40;"['Witness' 'Applause of a Distant Crowd' 'Inmazes' 'Monsters (EP)'
 'Homesick Machinery (EP)' 'Glasswork (Single)' 'Witness (Deluxe Edition)']";5;22/03/2010;23/08/2023;7707.0;1;1;0.025
Within Temptation;120;"['Resist (Extended Deluxe)' 'Hydra'
 'The Heart of Everything (Special Edition)' 'The Silent Force'
 'The Unforgiving ' 'Bleed Out - EP' 'Mother Earth'
 'The Heart of Everything' 'Bleed Out' 'An Acoustic Night at the Theatre'
 'Forgotten Songs - Single' 'Enter' 'The Q-music Sessions'
 'Black Symphony' 'The Dance [EP]']";12;07/04/1997;20/10/2023;36823.0;14;12;0.1
